cell,GLM,NN-DeepSharedDeepHead-TL-CNN,NN-DeepSharedDeepHead-TL-MLP,NN-DeepSharedDeepHead-TL-RNN,NN-DeepSharedShallowHead-TL-CNN,NN-DeepSharedShallowHead-TL-MLP,NN-DeepSharedShallowHead-TL-RNN,NN-PerCell-CNN,NN-PerCell-MLP,NN-PerCell-RNN,NN-ShallowSharedDeepHead-TL-CNN,NN-ShallowSharedDeepHead-TL-MLP,NN-ShallowSharedDeepHead-TL-RNN,XGBoost
52,-0.010527426540541507,-0.011890429284609594,-0.0037265423064296588,-0.0029194370860674557,0.0034311676101663746,-0.0007990791809189268,-0.0014177263257997286,-0.014906229999884335,-0.01197819278358958,-0.015527172643290399,-0.01721559813374851,-0.002083826032113878,-0.0026182720040692775,-0.025121625752927423
53,-0.05279755997924673,-0.02176279838346984,0.006138522173827821,-0.0066069184090014055,-0.007361343929696229,0.009622391455566759,-0.007876387956824438,-0.01601181696835141,-0.045237141926828484,-0.01607826233994447,-0.020352333782997833,-0.0008713409751404111,-0.004106534825391028,-0.057470397155085395
54,-0.011283764035879162,-0.011187220262606656,-0.008708070976920279,-0.020841259993613415,0.0024027707208940097,-0.018941784122303185,-0.008891759932137866,-0.0015353487365916685,-0.02036251200385375,-0.018430090728795756,-0.010285883745798419,-0.016825748459872836,-0.020859421174282966,-0.04331979181121648
55,-0.0038030165486888645,-0.05107656441208297,-0.08864529572995328,-0.052973292255883875,-0.014308357904608604,-0.08774123768204989,-0.047060154543794086,-0.03434996804439039,-0.026879846346514302,-0.01563403248338391,-0.04447757224234605,-0.09574222701047175,-0.0453564193095648,-0.07618419080031802
56,0.0034308777259280943,0.055656885579516535,0.044583153142832344,0.0521588026181935,0.046604145660620655,0.04854323506007174,0.03299347523926943,0.03899260094291668,0.02106554754312495,0.013098276746842719,0.04135582728278864,0.04803856553487007,0.05582820875215877,0.05854573045322908
57,0.0062952138369403166,0.014363850171791204,0.032620283178967036,0.028354625449488968,0.05324289549637451,0.013357747120384955,-0.005800465910092978,-0.01012212424551473,-0.02860624012356272,0.0206436987320745,0.04293604634731962,0.03836730949443656,0.021595849838382586,0.007025842071756383
58,0.14211409616437898,0.2621059428518808,0.2563979402469684,0.26357167738187115,0.26525490322894585,0.22417077675642394,0.17595830561691483,0.1880774705128625,0.23696197447797984,0.18266698887567567,0.250645807036896,0.25763046804698875,0.24031170342358443,0.23200069746517948
59,0.019270308467121078,0.03428530918864936,0.049438751114955215,0.05443980392715875,0.016587403859381733,0.030184184051379792,0.04631744686758077,0.016036824609362954,0.044166684680262636,0.028342623432928593,0.029598927364601124,0.04314906503560889,0.05707893113835194,0.030355639824724667
60,0.005903020263739789,0.015035593056161312,0.020985024521651185,-0.014824347977222763,-0.03953220137206204,0.024031208544915472,-0.021938725570957773,-0.0038807812841237244,-0.03014194921553215,-0.05242969545666343,-0.011181919449147149,0.023471433425091393,-0.012117114577316457,-0.018215345369550384
61,0.2899046584315289,0.36004206991234766,0.3941691085391371,0.22681233755159458,0.3172577095535559,0.3579447919124362,0.18149430165932257,0.2125535938471551,0.3370885017596924,0.29300970719673336,0.22242324545388859,0.3981763031424175,0.2243926650507051,0.2830667211685547
62,0.12126699340843128,0.07061143769042555,0.1265222823820984,0.03385021205776784,0.05218260643833039,0.13236010108646812,0.03034321510394089,-0.025004088803721736,0.10558531706650798,-0.02954276545654988,0.01696586574376502,0.12711661474544467,0.040456787005826444,0.07047914116202203
63,0.02436724114495037,0.03481273318470712,0.030204615666301504,0.031166387069241908,0.019935730404255003,0.02999049072641846,0.015625149268327698,-0.008369745838065823,0.019246444468413948,0.004631075682150265,0.050971586284947246,0.034823642458583826,0.03468953839073008,0.009406410008814037
64,-0.015872610189833214,-0.0303805708473055,-0.023444250232709685,-0.009567310022956299,0.004050388392183191,-0.020265836520504843,-0.028383593195488555,-0.0176495008673776,-0.021049362811811356,-0.040853297979243974,-0.016699625588500133,-0.017090616704441564,-0.00424986593623311,-0.020533585307961788
65,0.012904586140865537,0.04948813892629633,0.034311390338914616,0.10665336397568459,0.10300120063067342,0.03341666974462343,0.07794583934933685,0.036279599196835544,0.04004472381324464,0.10457981198738098,0.08551196710489994,0.04027257868033529,0.10779805648796215,0.06905813145331907
66,-0.03281708480195733,-0.062219846400370926,-0.09005603701799636,-0.034220442752451286,-0.057959491934619134,-0.06933150911694108,-0.02427424583155746,-0.057632327074579104,-0.09153358145229085,-0.0019907340958218445,-0.07692036942608005,-0.07335940440666833,-0.03137883820353671,-0.04330661559908289
67,0.010496965438938965,0.07089196283046173,0.03878489157743614,0.08157390902510908,0.07179235698517339,0.050104192271856696,0.05479466936968591,0.01677008354243903,0.01320367387131327,-0.004339148921896907,0.07853228546013469,0.045631650804168866,0.08595607654690185,0.07509316269120603
68,0.0004404817874923417,-0.0011039858001320457,0.00438523445294714,-0.0011884319228490092,-0.012418068585147823,0.006783562078210403,0.0007993546426728892,-0.0037571998093248737,-0.02768623713798779,-1.1885001944600404e-05,-0.007693055116212211,0.009005336836384714,0.00012362691594658415,-0.003377537993381363
69,0.03377763670557332,0.056260805481356146,0.05720799928426579,0.07325419664432287,0.03337726351085546,0.04483652810857419,0.02159497582585823,0.028120426220853645,0.017524494173332683,-0.002825088336085191,0.06585705436535738,0.05316884107450959,0.08130242573090207,0.0385145574434842
70,-0.003773807627264425,-0.05341643420602882,-0.019264990748509625,-0.011839302899505855,-0.025900750557669383,-0.02193990787797806,-0.01474957285062195,-0.019202725120555764,-0.00905730284898687,-0.008542463738776984,-0.02911818026068902,-0.015077847931403321,-0.011719970259746137,-0.012171305925818166
71,-0.15279136494308876,0.07062360382372446,0.01224894591358694,-0.031455959551442536,0.05285663773762461,-0.019231949720050823,-0.0572736864431711,-0.1022863925921691,-0.08884149954157294,-0.153458619767894,-0.005798793879284281,0.008345764318791082,-0.016266033567797766,-0.08505684831661786
72,-0.03752357793174155,0.05712263966963127,0.040336219247258276,0.0022448234264944578,0.06537425443685829,0.0036242733133592386,-0.03970464460236567,-0.0956063303544945,0.06844238192027285,0.007524096989295126,0.012193566904547759,0.04340677086341305,-0.015951155236930026,0.025432014662677305
73,-0.01882683749252556,-0.0015474533168942095,-0.001443469157960564,0.0022593531868614347,-0.007612506581103462,-0.006495530966617702,0.0044781021778186325,-0.0066684302437043375,-0.008440069746008083,-0.017467193636361955,0.00026179287747574165,-0.0024131978266939136,0.001170331306128869,-0.015463080739368085
74,-0.001405546520728107,-0.013445927004526625,0.007143849779306599,-0.0030884860342639264,-0.007970168333114369,-0.010798583285721586,-0.0044660664943416695,-0.0480798508541751,-0.050381820450354775,-0.00024490417207645443,-0.007074551351356817,-0.0022825979635046068,0.00034033333631611207,-0.07104278610888137
75,0.025845147835564797,0.02632089184965858,0.04925756338253784,0.026694998397655323,0.03568680032268734,0.024209866686892956,0.027912146551202,-8.946875309701063e-05,-0.003064377200114876,0.00625510525567996,0.02649624094119085,0.04842992633558896,0.030069741511123516,0.020833303762498367
76,0.013660311188050778,0.027566876986039435,0.024202445258387995,0.03302567895016251,0.03269925981114663,0.019532403927841724,0.03188597031003493,0.0068753150886886605,-0.0035443280967220048,-0.011830760242685257,0.03322161682183966,0.02801670088989372,0.037019931962199104,0.0066869349415130674
77,-0.0068749520129165465,0.14883660112787656,0.12448761873880143,0.12504215241107264,0.13981892362582193,0.11247739597720607,0.09874150766830436,0.021859562188582093,0.078863056270288,-0.009252054988166503,0.10818905080555441,0.1326979309477615,0.11323429609004643,0.13799142510832418
78,0.01869909898127209,0.0159861268353928,0.005662810003930652,0.008252321174179067,0.015443767441856826,0.004967662519362093,0.009922090615494428,0.011871789292393742,0.021019738630580154,-0.0045433765587821195,0.011703299139928514,0.005506481038827782,0.004836773680077622,0.010155270880273681
79,-0.046010184709348145,-0.018921033968975598,-0.005516824871991455,0.0025430729848259226,-0.005764609543992272,-0.009802218427218623,-0.01462275697836768,0.006360232059467008,0.003061221475300524,-0.00520917912917418,0.00031499136321511134,-0.004087169881332731,0.0037598840703403358,-0.08814407288728088
80,0.014908484739638905,0.028704973231833963,0.023375209452616175,0.02455715303041095,0.024842751165533028,0.01956173150256202,0.024298801185849372,0.020653484598063043,0.014111886426900422,-0.0002121248275961385,0.02426734579511558,0.021684532212867924,0.027903818873890374,0.006620367058995602
81,0.031014723102926633,0.058178080581035685,0.053641762314059704,0.060080474565543884,0.05938588554462121,0.043625477313888106,0.06268822939533847,-0.0003819929829602664,0.013399870046322704,0.05740194887726291,0.064361322050279,0.050115867926435076,0.06660122710865024,0.011559106610182002
82,0.00110749068752225,0.022777798061898058,0.03468743359706605,0.06031893306276115,0.027195207569781,0.021127088980634312,-0.00891099853726196,0.02256322006552136,0.060982062541132476,-0.07481729265992576,0.02672697332778029,0.04572825020113813,0.043314763328198724,-0.005446439645770074
83,0.045161289529104365,0.07681332969009369,0.07332375641634892,0.07401337848701028,0.07528480697146422,0.07075499734894175,0.060712375439197275,-0.010106873328674215,0.06926523218776293,0.06934457758047485,0.0657786685818339,0.06535490812670708,0.07383651262068214,0.04511036235697008
84,0.022581051703968624,0.015186204189391983,0.005261430866095651,0.021288776770677642,0.034955328601396274,0.00043799279385470236,0.02600673228031114,0.008090669019438446,0.0023481136775135303,0.006509808621675495,0.015206263242776408,0.006021759790013181,0.033417291797283255,0.011476023049164064
85,0.027899479654061032,0.08816081081807059,0.136847402753552,0.05858605109831361,0.08851607007203754,0.1411139723928626,0.053506084549565514,0.0741174626396146,0.10342665653619987,0.07010497772438495,0.0662242455399592,0.1447400334490383,0.05514061989206864,0.13119664830072097
86,0.06489875382672305,0.051632519608850846,0.06028079897062655,0.04372761134159997,0.05606374133439451,0.06660510224420435,0.03666971110282791,0.06301591324310452,0.07180699061284046,0.05765398707516267,0.044572864582491545,0.06328072212591762,0.0527321237449625,0.07253112512400284
87,0.03400882146273443,0.04902474325961137,0.03133305301316203,0.022751023021085337,0.058399643181501704,0.006117606405139919,0.026878288724160426,0.04052666517059167,0.034181529715238024,0.03371858323001109,0.03131094399507228,0.031105213162943235,0.021520353883927257,0.024715462233524388
88,0.020627605670763938,0.032997360563278955,0.03174603758033567,0.028399110241238867,0.028808352254485192,0.036285787554716786,0.02883326210574677,-0.008052153452418054,0.038139453929276756,0.01432095011608392,0.020355298083502227,0.02987012062548411,0.02686465192123355,0.060708161406712424
89,0.1737706070038545,0.11792439041635894,0.14637357580383614,0.17332508280634296,0.10818949495690489,0.11969797930512949,0.10431390440272592,-0.006962373101761621,0.23390182213387278,0.15601710553783665,0.07978447840456204,0.18568739438438675,0.16619701949240628,0.19201658682557265
90,0.00395780648223687,0.009396550031056217,0.009175193222456746,-0.0031941714464363002,-0.0026985336202158816,0.014874476546825277,-0.0025246771047608974,-0.010379977533613083,-0.002485791608051402,-0.01037597746913721,-0.022876527750802955,0.013113495624571536,-0.00455395222610222,-0.031181186659588356
91,0.04708750233903203,0.07244577198649726,0.07980538799722303,0.05888313268352219,0.09113520965723199,0.09438446722812521,0.06288980241224307,0.08725824760253498,0.0866713046777311,0.07065401826118445,0.07519801588223474,0.07915294196876366,0.05875159737819491,0.08593255005212141
92,-0.009013450233322562,-0.014574092837543073,-0.008265908175309145,-0.01206428631955192,-0.00500540094681301,-0.0029397186650435003,-0.026931218650475985,-0.0008597276929476205,-0.009144671231669843,-0.04049673258134168,-0.011030267213330669,-0.006874525299415568,-0.009499837325652294,-0.027705271229103046
93,0.04232648452386434,0.13488809588470296,0.1192969119692292,-0.002118535639713759,0.09140485216209393,0.1188494056476993,0.0507279748468088,-0.015165051753629033,0.16433137556791833,0.10800985151272346,0.04089482586887916,0.10115957608664317,0.05206991425449159,0.15080214444428752
94,0.034117855547360465,0.07367898645115145,0.059717490865254796,0.056923477580149706,0.06965583875942294,0.06095004959322203,0.05263008893604115,0.03634640995523997,0.04066922001661699,0.030299777804220662,0.054300861397326816,0.05256190781476966,0.053794118382725076,0.03633623175114087
95,0.027343850243491286,0.04100603625167032,0.03620172827708301,0.06477874369361603,0.07803299759997118,0.040119984093095806,0.05576331922825983,0.008651035029658138,0.03365753620239709,0.009529279589727713,0.061563194431766055,0.04777752355408371,0.062260059652537114,0.04406186328052131
96,0.0814979904351969,0.12065157561683315,0.11498170818010534,0.11467381927795894,0.12219521118330501,0.12479940450227311,0.11708004633765312,-3.435100756066234e-05,0.09969560391244192,0.0908317013898523,0.1038122519018948,0.13334360859000416,0.10971816507125398,0.12563478160069452
